feature,feature_label,separation_score,predicted_correct_mean_z,majority_but_wrong_mean_z,not_even_sampled_mean_z
execution_answer_recovery_rate,Execution answer recovery rate,1.5087269476267804,0.19832447419029361,-0.5093827526784632,-1.3104024734364867
numeric_answer_rate,Numeric answer rate,1.5087269476267804,0.19832447419029361,-0.5093827526784632,-1.3104024734364867
text_answer_extract_rate,Text answer extract rate,1.5086343961917015,0.19802571922957407,-0.5070564380876997,-1.3106086769621275
execution_success_rate,Execution success rate,1.4698099001174303,0.19008472320505806,-0.4712253753362596,-1.2797251769123723
answer_consensus_margin,Answer consensus margin,1.416430547992535,0.25120917844931573,-1.1652213695432192,-0.9326169852444567
mean_rollout_score,Mean rollout score,1.4114581326259525,0.2257114690858516,-0.7982576754043007,-1.1857466635401008
answer_diversity_rate,Answer diversity rate,1.0201184109230512,-0.15134767330264212,0.8687707376204091,0.3286827091961078
